あいが	愛雅
ちひろ	ちひろ,千央,千嘉,千拡,千寛,千啓,千景,千宏,千広,千弘,千浩,千紘,千寿,千祥,千尋,千聖,千蒼,千拓,千宙,千都,千博,千弥,千優,千祐,千裕,千洋,千廣,千昊,千洸,千滉,千皓
つかさ	つかさ,月冴,元,司,司沙,司彩,司紗,士,政,束沙,束咲,津佳沙,津傘,典,都加沙,都可沙,都果沙,吏,良,緑沙
つくし	つくし
つくも	九十九
つづみ	鼓
つばさ	つばさ,つば冴,ツバサ,羽,椿沙,椿咲,翼,翼沙,翼咲,翼桜
つばめ	燕
てるみ	瑛海,輝海,輝実,輝美,光美,昭美,照海,照己,照実,照美,照巳
てんし	天使,天子,天詩
てんり	天利,天李,天理,天璃,天里,天俐,天莉
とあ	とあ,永空,遠愛,音亜,音愛,音空,音和,叶亜,叶愛,采亜,采愛,采空,采和,十愛,十逢,十空,十彩,十有,十和,仁愛,仁彩,兎空,斗亜,斗愛,斗安,斗空,斗彩,都亜,都愛,都空,都明,冬空,透愛,飛愛,飛空,橙空,翔亜,翔愛,翔空,翔彩,翔明
とし	敏
としみ	俊海,俊美,敏美,利美
とも	とも,共,幸,丈,知,智,朝,登萌,灯,燈,伴,朋,睦,友,倫,和
とわ	とわ,永愛,永羽,永遠,永久,永和,遠和,乙和,音羽,音和,叶羽,叶和,采羽,采環,采和,十羽,十環,十和,人和,仁羽,仁和,兎羽,兎和,堵和,斗羽,斗環,斗和,杜羽,杜環,杜和,渡羽,渡和,登羽,登環,登和,途羽,都羽,都我,都環,都和,冬和,東和,透羽,透和,瞳和,飛羽,飛和,百和,敏羽,富和,冨羽,豊和,橙羽,橙和,翔羽,翔環,翔湧,翔和
なお	なお,夏生,七央,七音,七絃,七渚,七緒,七生,七和,奈於,奈央,奈保,凪央,凪音,凪生,凪和,南央,南音,南緒,南生,埜,名央,名生,和央,和音,和生
なぎ	なぎ,永葵,七祇,渚,奈義,那葵,那岐,那木,凪,凪葵,凪輝,凪祇,薙,南葵,和,梛,梛木
なぎさ	渚,なぎさ,渚,渚佐,渚左,渚沙,渚砂,渚彩,渚冴,渚咲,渚紗,渚朝,渚颯,汀,凪,凪覚,凪佐,凪沙,凪瑳,凪砂,凪彩,凪冴,凪咲,凪朔,凪桜,凪紗,凪爽,和幸,和沙,和咲,梛沙,梛彩,梛冴,梛桜,梛紗,梛爽
なごみ	なごみ,七五三,和,和海,和己,和心,和美,和望,和未,和弥
なごむ	和夢
なさ	那咲
なつ	なつ,永紬,夏,夏都,懐,菜津,菜都,七紬,七都,成都,成紡,奈津,奈紬,奈都,那月,那津,那紬,那都,凪津,凪都,捺,納都,莫都,名都,和津,和紬,梛津,梛紬,梛都
なつき	なつき,ナツキ,夏葵,夏喜,夏希,夏季,夏稀,夏紀,夏記,夏貴,夏輝,夏吉,夏久,夏月,夏己,夏樹,夏生,夏妃,夏木,夏来,夏來,夏暉,夏煌,夏絆,夏綺,菜月,七月,七槻,渚月,水月,成月,生月,奈胤,奈月,奈津希,奈津貴,奈津樹,奈槻,那月,那津輝,那槻,凪月,捺葵,捺喜,捺希,捺季,捺稀,捺紀,捺貴,捺輝,捺月,捺樹,捺生,捺聖,捺暉,南月,南槻,名月,梛月
なつひ	夏緋,夏陽
ななせ	ななせ,菜々世,菜々星,七世,七瀬,七星,七聖,奈々世,奈那星,那奈瀬,凪々世
なり	なり,音
なる	なる,愛,育,菜流,菜琉,七琉,七瑠,成,成流,成琉,成留,成瑠,奈琉,奈留,奈瑠,那流,那琉,那留,那瑠,凪琉,南琉,南瑠,波琉,波留,波瑠,鳴,梛留,梛瑠
なるみ	匠美,成海,成実,成美,成巳,成弥,稔実,鳴海,鳴実,鳴美
にき	仁葵,仁希,仁稀,仁輝,仁樹,丹希,二希
にじ	虹
にちか	仁愛,仁周,仁知佳,仁悠,二千佳,二千翔,日華,日樺,日香,日和,日翔
にの	にの
ねお	音央,音緒,音織,音生,音陽,音和,希音,祢音,祢桜,寧央,寧音,寧緒,寧生,寧和,峯央,嶺緒
ねおん	ねおん,音苑,音恩,祢音,寧音
ねむ	音夢
のぞみ	のぞみ,希,希海,希観,希光,希実,希充,希生,希美,希望,望,望海,望実,望水,望美,望未
のり	のり,紀,規,憲,智,典,乃理
はおと	羽音,波音,葉音
はおん	羽音,葉音
はつき	はつき,羽月,初希,初季,初稀,初樹,晴月,葉月
はやみ	速水,颯海
はる	はる,ハル,絢,羽流,羽琉,羽留,羽瑠,映流,映留,映瑠,栄,栄留,温,果瑠,花,華,華琉,華瑠,会,喜,啓,浩,桜,治,春,春陽,春流,春琉,春留,春瑠,榛,晴,晴流,晴琉,晴留,晴瑠,生琉,青,大,暖,知,跳琉,日,巴流,巴琉,巴留,巴瑠,覇瑠,杷琉,杷瑠,波流,波琉,波留,波瑠,琶琉,芭流,芭琉,芭留,芭瑠,美,明,悠,悠流,悠瑠,葉流,葉琉,葉留,葉瑠,遥,遥留,陽,陽琉,良,遼,令,櫻,脩,遙
はるか	はるか,永,永遠,温佳,喜花,玄,桜架,春嘉,春果,春華,春叶,春樺,春奏,春日,春楓,春風,春翔,榛夏,晴佳,晴加,晴可,晴夏,晴架,晴珂,晴賀,晴叶,晴圭,晴香,晴日,晴楓,晴風,晴翔,暖加,美海,明佳,明海,悠,悠佳,悠加,悠可,悠嘉,悠夏,悠珂,悠禾,悠華,悠海,悠叶,悠圭,悠日,悠楓,悠風,悠耶,葉留佳,葉留香,葉瑠花,葉瑠香,遥,遥郁,遥伽,遥佳,遥加,遥可,遥夏,遥架,遥河,遥珂,遥禾,遥花,遥賀,遥叶,遥香,遥奏,遥楓,遥風,遥翔,陽加,陽夏,陽迦,陽奏,陽日,陽風,陽翔,瞭,遼,遼佳,遼加,遼可,遼夏,遼果,遼珂,遼禾,遼花,遼香,遼和,令和,遙,遙佳,遙加,遙可,遙夏,遙叶,遙風
はるせ	はるせ,春世,春瀬,晴世,悠世,遥世,陽世
はるひ	はるひ,絢陽,温柊,温陽,華陽,開陽,玄陽,桜緋,桜陽,治陽,春灯,春燈,春日,春妃,春緋,春柊,春陽,晴灯,晴日,晴飛,晴柊,晴陽,大陽,暖灯,暖日,暖柊,暖陽,明飛,明陽,悠光,悠灯,悠燈,悠日,悠緋,悠陽,遥日,遥妃,遥緋,遥飛,遥柊,遥桧,遥陽,陽光,陽燈,陽日,陽妃,陽斐,陽飛,陽柊,遼飛,遼陽,遙日,遙陽
はるみ	始海,始実,始巳,始弥,治美,春海,春己,春実,春美,春巳,春弥,晴海,晴見,晴己,晴実,晴心,晴美,晴巳,晴弥,暖海,暖実,暖美,悠海,遥海,遥実,遥心,遥美,遥巳,遥弥,陽海,陽実,陽心,陽生,陽美,陽巳,遙海,遙実,遙美
はれ	はれ,ハレ,羽玲,春伶,晴,晴玲
ひいらぎ	柊
ひかり	ひかり,ヒカリ,輝,光,光利,光李,光梨,光理,光里,光俐,光凛,光莉,光凜,星,太陽,日香梨,陽加利,陽香里,晄利,晄吏,晄俐,暉,洸
ひかる	ひかる,ヒカル,輝,玄,光,光海,光流,光琉,光留,光瑠,晃,晃瑠,星,日夏瑠,飛華流,陽,陽夏瑠,晄,暉,暉琉,洸,皓
ひさき	久葵,久希,久紀,久貴,寿樹,尚樹,緋咲,柊咲,陽咲
ひじり	聖,日知
ひづき	一月,日月,緋月,飛月,柊月,陽月
ひづる	日鶴,緋鶴,陽鶴
ひとは	一葉,仁葉
ひなか	ひなか
ひなき	日和季,陽葵,陽希
ひなせ	陽瀬,陽生
ひなり	日菜里,緋那理,飛成,柊也,陽成,陽晴,陽奈梨,陽也
ひびき	ひびき,韻,響,響葵,響喜,響希,響気,響季,響稀,響紀,響規,響記,響貴,響輝,響己,響樹,響生,響木,響来,響暉,響綺,日々喜,日々希,日々季,日々輝,日々樹,日々來,陽々希,陽々輝,陽日希,陽美己
ひろ	ひろ,ヒロ,央,嘉,寛,紀,空,啓,景,宏,広,弘,浩,紘,寿,尋,蒼,大,宙,典,灯呂,燈路,日呂,博,比呂,緋呂,飛呂,柊呂,優,祐,裕,洋,陽蕗,陽呂,礼,廣,洸,滉,熙
ひろみ	ひろみ,ヒロミ,央実,寛美,寛弥,啓実,啓美,宏海,宏美,宏弥,広海,広実,広美,広未,弘海,弘己,弘実,弘美,浩実,浩美,紘海,紘未,紘巳,尋海,尋実,尋美,尋巳,泰海,大海,拓海,拓生,拓未,博海,博観,博見,博実,博美,博巳,比呂美,裕海,裕己,裕実,裕美,裕巳,洋美,廣海,廣美
ふう	ふう,吹羽,吹生,芙生,楓,楓愛,楓羽,風,風羽,風生,風優,歩宇,歩羽,歩生,歩佑,颯
ふく	ふく,吹空,芙久,福,歩来
ふじ	藤,富士
ふづき	吹月,芙月,楓月,文月
ほし	ほし,星,帆志
ほたる	ほたる,蛍,蛍流,蛍琉,蛍瑠,帆樽,歩樽,穂垂,穂多瑠,穂樽
ほまれ	ほまれ,星稀,帆希,帆稀,保希,保稀,歩希,歩稀,穂希,穂稀,穂真玲,鳳希,誉,誉希,誉稀,誉怜,誉玲,誉礼,玲
まあさ	真朝,真麻,麻朝
まおん	真音,舞音
まこと	まこと,愛琴,允,実,淳,純,信,真,真音,真琴,真言,真古都,真采,真思,真詞,真実,真寿,真心,真都,真翔,誠,丹,睦,磨琴,磨采,麻琴,麻言,麻寿,万采,亮,諒,洵,眞,眞琴,眞言,眞詞,茉琴,茉采,茉詞,詢,諄
まさ	まさ,雅,昌,真佐,真瑳,真砂,麻沙,優
まさみ	まさみ,雅海,雅実,雅仁,雅美,将美,将命,昌実,昌美,昌巳,真海,真実,真美,真巳,真弥,政海,政見,政実,政美,正海,正実,正美,聖己,誠実,優海,優美,理美
ますみ	益美,升海,升美,真珠美,真寿美,真住,真純,真須美,真澄,真素美,増美,万寿美,万純,万澄,満寿美,眞住,眞純,眞澄
まとい	まとい,纏
まなつ	真夏,舞夏,眞夏
まひる	まひる,真昼,真陽琉,茉日
まひろ	まひろ,希宙,希優,稀尋,蒔広,蒔尋,真央,真嘉,真寛,真啓,真宏,真広,真弘,真紘,真潤,真尋,真蒼,真大,真宙,真博,真比呂,真弥,真優,真裕,真洋,真礼,真昊,真洸,真滉,真皓,舞広,舞弘,舞紘,舞大,舞洸,摩紘,磨洸,麻央,麻嘉,麻寛,麻宏,麻広,麻弘,麻浩,麻紘,麻恕,麻尋,麻泰,麻博,麻比呂,麻裕,麻洸,万央,万寛,万広,万弘,万紘,万尋,万泰,万大,万宙,万博,万比呂,万弥,万優,万裕,万滉,満優,眞央,眞嘉,眞寛,眞啓,眞広,眞弘,眞紘,眞尋,眞宙,眞弥,眞優,眞裕,茉祐,茉央,茉寛,茉宏,茉広,茉弘,茉浩,茉紘,茉尋,茉泰,茉大,茉拓,茉宙,茉比呂,茉弥,茉優,茉祐,茉裕,茉洋,茉廣,茉昊,茉洸
みおう	心凰,美央,訪央
みおと	実音,心音,美音,美響,巳音,澪音,澪都,澪透
みづき	みづき,愛月,海月,観月,光希,光輝,光月,光樹,三月,実月,充月,心月,深月,水月,瑞月,誠月,泉月,美月,美津希,巳月,弥月
みなみ	みなみ,海波,海洋,三南,三波,実波,真波,南,南海,南実,南波,美南,美波,碧波,未奈美,未南海,未波,巳那未,湊海,湊波,湊望,弥波,陽
みのり	みのり,実,実紀,実恭,実憲,実典,実徳,実乃梨,実理,実里,実俐,実莉,穣,農,美愛,美則,美徳,美方,穂紀,穂里,未典,稔璃,稔里,稔礼,稔莉,弥乃莉
みらい	みらい,海来,海礼,海來,光来,三來,実来,実來,実蕾,珠礼,充礼,心來,誠來,美来,美頼,美來,望来,望來,望徠,未来,未來,未徠,未蕾,魅雷,弥来,弥雷,弥來
みらん	みらん,海蘭,光蘭,実蘭,深蘭,美藍,美蘭,望蘭,未蘭,魅蘭
みろく	みろく,御六,弥呂紅,弥禄
むぎ	むぎ,麦
むつ	睦,陸奥
むつき	むつき,睦,睦葵,睦喜,睦希,睦季,睦稀,睦紀,睦規,睦記,睦貴,睦輝,睦月,睦己,睦樹,睦生,睦来,睦綺,夢月,陸希,六月
めぐむ	愛,恩,芽夢,恵,恵夢,仁,惠,萠
もと	望都
もみじ	紅葉
ゆあん	結庵,結杏,癒杏,優安,優杏,悠杏,柚杏,柚晏,由晏,祐杏,夕晏,侑杏
ゆう	ゆう,ユウ,郁,右,弓羽,結,結宇,結羽,結生,結優,結友,結憂,結有,雪羽,夢羽,佑,佑宇,佑羽,優,優宇,優羽,優雨,優卯,優海,優生,優友,優侑,勇,友,友優,宥,悠,悠右,悠宇,悠羽,悠雨,悠海,悠生,悠有,悠侑,憂,有,有宇,有羽,柚,柚羽,柚生,柚友,柚有,湧,由,由宇,由羽,由雨,由卯,由優,由有,由侑,祐,祐宇,祐羽,祐有,裕,裕宇,裕羽,遊,邑,雄,夕,侑,侑羽,侑生,侑優,釉
ゆうさ	優桜
ゆうひ	ゆうひ,結緋,結柊,結陽,佑日,佑柊,佑陽,優一,優光,優灯,優燈,優日,優緋,優飛,優柊,優陽,勇陽,友柊,友佑陽,友陽,悠灯,悠燈,悠日,悠妃,悠緋,悠陽,憂陽,有緋,有柊,有陽,柚陽,由陽,祐燈,祐緋,祐陽,裕妃,裕柊,裕陽,遊飛,遊陽,雄飛,雄陽,夕燈,夕日,夕緋,夕陽,侑燈,侑日,侑妃,侑陽
ゆうほ	結帆,結歩,佑帆,佑保,佑歩,佑穂,優歩,優穂,悠帆,悠保,悠歩,悠穂,有穂,柚歩,由歩,祐帆,祐穂,裕帆,裕保,裕歩,裕穂,遊歩,遊穂,侑歩
ゆうら	ゆうら,結羅,結蘭,結良,優楽,優空,優羅,優良
ゆうり	ゆうり,結羽李,結利,結吏,結李,結梨,結理,結里,結律,結琳,結俐,結凛,結莉,結凜,佑哩,佑吏,佑李,佑梨,佑理,佑璃,佑里,佑俐,佑凛,佑莉,優羽璃,優浬,優鯉,優哩,優利,優吏,優李,優梨,優理,優璃,優里,優俐,優凛,優莉,優凜,勇利,勇里,勇莉,友吏,友李,友梨,友理,友璃,友里,友琉,友俐,友凛,宥利,宥吏,悠亥,悠浬,悠織,悠利,悠吏,悠李,悠梨,悠理,悠璃,悠里,悠琳,悠麗,悠俐,悠凛,悠稟,悠莉,悠凜,有利,有李,有理,有璃,有里,有俐,有凛,有莉,柚吏,柚李,柚璃,柚里,柚凛,柚莉,湧璃,由利,由李,由理,由璃,由里,由琉,由莉,祐利,祐吏,祐李,祐理,祐璃,祐里,祐俐,祐凛,祐莉,裕利,裕吏,裕李,裕梨,裕理,裕璃,裕里,裕凛,裕莉,遊璃,雄吏,雄里,夕梨,夕理,夕璃,夕里,夕凛,夕莉,夕凜,侑哩,侑利,侑吏,侑李,侑梨,侑理,侑璃,侑里,侑俐,侑凛,侑莉
ゆうわ	結羽,結禾,結和,佑羽,佑和,優羽,優和,友和,悠羽,由羽,祐和,裕羽,夕和,侑羽,侑和
ゆきじ	幸慈,幸路,志路,雪慈,雪蒔,雪路
ゆずき	ゆずき,ゆず希,結珠希,結寿喜,譲喜,譲希,譲稀,譲輝,禅貴,佑珠希,優珠希,柚葵,柚衣,柚伎,柚喜,柚基,柚嬉,柚希,柚揮,柚祈,柚季,柚稀,柚紀,柚記,柚貴,柚起,柚輝,柚月,柚己,柚幸,柚樹,柚生,柚木,柚来,柚來,柚暉,柚絆,柚綺,由寿希,由寿稀,由寿貴,祐珠生,夕瑞季,侑珠希
ゆづる	ゆづる,弓弦,結弦,結絃,結鶴,優弦,優鶴,友弦,友鶴,柚弦,由弦,由絃,由鶴,夕弦,夕鶴
ゆめじ	夢慈,夢仁,夢路
よう	よう,英,央,桜,世羽,世優,鷹,容,曜,楊,洋,羊,耀,葉,葉羽,葉生,葉優,蓉,謡,遥,陽,榮,櫻,燿,瑶
らいか	来華,雷華,來果,徠花,徠華
らいち	らいち,来知
らいむ	らいむ,来夢,來夢,徠夢,蕾夢,萊夢
らいら	来良,來良
らいり	らいり,来里,頼梨,礼璃
らいる	羅衣瑠,来瑠,來琉,徠瑠
りある	璃歩
りあん	リアン,利杏,吏杏,梨杏,理安,理杏,理晏,璃安,璃杏,璃晏,凛杏,絆愛,莉杏
りお	りお,リオ,浬央,浬緒,哩央,哩乙,哩緒,利於,利央,利旺,利音,利桜,利緒,利臣,利生,吏於,吏央,吏音,吏桜,李愛,李央,李旺,李音,李桜,李緒,李織,李臣,李生,李百,李和,李凰,梨央,梨音,梨桜,梨緒,梨生,梨穂,梨陽,梨凰,理愛,理於,理央,理王,理乙,理音,理桜,理緒,理織,理生,理大,理夫,理陽,璃愛,璃央,璃旺,璃乙,璃穏,璃音,璃桜,璃緒,璃織,璃生,璃青,璃麻,璃和,裡央,里央,里旺,里桜,里緒,里織,里麻,里和,陸央,琳王,鈴凰,麗愛,麗央,麗生,俐愛,俐央,俐音,俐緒,俐生,俐凰,凛愛,凛央,凛旺,凛王,凛音,凛桜,凛緒,凛生,凛青,凛和,凛凰,莉愛,莉於,莉央,莉旺,莉乙,莉音,莉桜,莉緒,莉織,莉生,莉大,莉穂,莉陽,莉零,莉和,莉凰,莉煌,凜央,凜音,凜凰
りおん	りおん,浬音,哩音,利苑,利音,吏恩,吏穏,吏音,李恩,李温,李穏,李音,梨恩,梨温,梨音,理園,理苑,理遠,理恩,理温,理音,璃苑,璃恩,璃温,璃穏,璃音,里穏,里音,琉音,涼音,涼風,琳音,瑠恩,俐苑,俐恩,俐音,凛苑,凛恩,凛温,凛穏,凛音,莉苑,莉遠,莉恩,莉温,莉穏,莉音,莉桜,凜恩,凜音
りずむ	りずむ,愛絆,奏音
りつ	りつ,浬都,栗,織紬,利津,利紬,利都,吏津,吏紬,吏都,李津,李紬,李都,梨月,梨嗣,梨津,梨都,理亜,理津,理椿,理都,璃津,璃都,里津,里都,律,律津,律都,率,立,俐津,俐紬,俐都,凛月,凛津,凛都,莉月,莉尽,莉津,莉紬,莉都,黎都
りと	りと,織都,利音,利都,吏乙,吏杜,吏都,李音,李采,李兎,李都,梨音,梨采,梨仁,梨斗,梨都,梨翔,理仁,理杜,理都,理冬,理翔,璃乙,璃音,璃采,璃斗,璃杜,璃都,里音,里采,里斗,里杜,里都,里飛,離人,俐采,俐斗,俐都,凛音,凛采,凛兎,凛都,莉音,莉采,莉仁,莉斗,莉登,莉都,莉翔,凜音,凜采
りょう	りょう,リョウ,綾,菱,椋,龍,了,亮,亮有,僚,両,凌,凌央,寮,梁,涼,瞭,稜,良,諒,遼,陵,令,伶,嶺,怜,玲,零,凉,崚,澪,燎,羚
りん	りん,綾,梨,倫,林,琳,臨,輪,鱗,麟,鈴,凛,稟,綸,凜
るあ	るあ,流愛,琉亜,琉愛,琉雅,琉空,隆愛,瑠亜,瑠愛,瑠空
るい	るい,ルイ,流以,流依,流惟,流衣,流生,流唯,流已,琉愛,琉葵,琉以,琉伊,琉依,琉惟,琉維,琉衣,琉音,琉海,琉莞,琉生,琉唯,留以,留伊,留依,留惟,留維,留衣,留生,留泉,留唯,瑠以,瑠伊,瑠依,瑠偉,瑠惟,瑠維,瑠衣,瑠一,瑠莞,瑠彩,瑠似,瑠色,瑠生,瑠泉,瑠唯,瑠倭,塁,累,類,路易,壘
るう	流羽,琉宇,琉羽,瑠羽,瑠優,瑠侑
るか	るか,ルカ,流伽,流嘉,流夏,流果,流架,流歌,流禾,流花,流華,流香,流楓,流風,琉榎,琉伽,琉佳,琉加,琉可,琉嘉,琉夏,琉架,琉歌,琉珂,琉禾,琉花,琉華,琉迦,琉海,琉叶,琉香,琉克,琉楓,琉風,琉和,琉翔,留佳,留加,留嘉,瑠榎,瑠伽,瑠佳,瑠加,瑠可,瑠嘉,瑠夏,瑠架,瑠珂,瑠禾,瑠花,瑠華,瑠賀,瑠海,瑠叶,瑠圭,瑠日,瑠楓,瑠風,瑠蘭,瑠和,瑠栞,瑠翔,路加
れい	れい,湖,光,領,令,令衣,伶,伶依,伶維,伶衣,伶生,伶唯,冷,励,嶺,怜,怜依,怜維,怜衣,怜生,玲,玲依,玲偉,玲維,玲衣,玲生,玲斐,玲唯,礼,礼依,礼偉,礼唯,鈴,零,零依,零衣,麗,麗以,麗伊,麗依,麗偉,麗生,蓮唯,澪,禮,羚,莉,黎
れん	れん,怜,廉,恋,憐,漣,煉,簾,蓮,蓮音,連
わおん	和音
わかさ	若佐,若桜
