あいか	愛雅,愛叶,愛輝,愛蘭,愛和,愛絆,愛翔,葵花,和奏
あいこ	愛恋,和子,和心
あいさ	愛佐,愛沙,愛咲,愛桜,和沙,和咲,和紗
あいしゃ	愛沙
あいな	愛永,愛樹,愛生,愛和,愛絆,美南
あいね	愛音,愛希,和音,和子
あいの	愛音,藍希,和希
あいは	愛絆,葵羽
あいみ	愛真,愛生,美海,望美,和美,和未
あいら	愛,愛音,愛輝,愛空,愛咲,愛桜,愛来,愛蘭,相良
あいり	愛月,愛織,愛怜
あいる	愛月,愛夢,愛琉,愛路,愛絆,藍月
あおか	葵花,蒼海,碧海
あおな	葵和,青波,蒼波,蒼和
あおね	葵音,青音,蒼希,碧音
あおの	碧泉
あおは	葵羽,葵花,葵晴,葵巴,葵波,葵葉,青羽,青波,青芭,青葉,蒼羽,蒼晴,蒼生,蒼波,蒼芭,蒼葉,碧羽,碧巴,碧波,碧芭,碧葉
あおみ	葵海,蒼海,碧海
あおり	愛織
あかね	茜,光,紅音,紅葉,朱李,秋音
あかり	茜里,茜莉,映,希星,月,光,光里,光莉,彩,朱,朱浬,朱利,朱李,朱理,朱璃,朱里,朱俐,朱凛,朱莉,澄空,星,星夏,星空,太陽,灯,燈,明,明空,耀,陽
あきえ	明咲
あきか	知佳,明佳
あきこ	晶
あきね	輝音,秋音
あきの	秋音
あきは	空羽,陽晴
あきほ	秋穂
あきみ	紀美,昌美,昭美,成美,明海,和美
あけみ	朱
あげは	葵羽
あこ	亜恋,愛来,愛恋,杏恋,彩来,明来,和子,和心
あさか	旭日,朝日,麻嘉
あさな	愛真
あざみ	紫苑
あすな	亜沙,愛沙
あすは	飛羽
あすみ	愛紀
あずき	愛月,梓月
あずさ	梓,杏桜
あずな	亜沙,愛沙,愛絆
あつみ	宏海,春美,淳生,暖美
あづさ	梓
あのん	愛音,愛叶,愛希,葵音,綾希,雨音,空音,紅音,彩音,青音,碧音,和音
あみ	亜珠,愛,葵海,雅美,彩生,碧海,明海,明夢,和心
あみり	杏璃
あめり	天寧,天李,天璃,天里,天莉
あやか	恵叶,彩,彩日,彩風,朱加
あやさ	空優,彩桜
あやせ	彩生,綺星
あやな	彩,彩音,彩樹,彩生,彩来,彩和,采愛,采和
あやね	愛音,葵音,綾音,英音,恵音,彩音,彩希,史音,理音
あやの	彩音,彩希
あやほ	綺星
あやみ	彩生,理美
あやめ	采愛,理愛
あやり	朱理,朱莉,礼璃
あゆい	歩生
あゆう	葵優,空優
あゆな	歩来
あゆね	歩音
あゆは	歩羽
あゆみ	步,渉,歩,歩生,歩夢
あゆめ	亜夢,愛夢,歩夢
あゆら	歩来
ありあ	蒼空
ありか	歩,有翔
ありさ	愛,愛咲,愛桜,有桜
ありす	光珠
ありな	愛生
ありみ	益美
ありん	有凛
あるな	亜月,愛月
あんじゅ	愛慈,愛樹,杏
あんず	杏
あんな	愛月,愛和,杏,杏梨,夢
あんね	杏
いくえ	生衣
いくみ	郁
いくむ	育
いちか	伊央,依央,依慈,依真,惟央,維央,一海,一輝,一慶,一芭,一翔,逸佳,泉実,都加,都和,唯央
いちこ	一心
いちご	苺
いちは	一晴,一芭,一葉
いちほ	一帆,一歩,一穂
いちよう	一葉
いっき	一嬉
いつみ	愛,伊津美,一実,一美,一望,一未,五三,五巳,樹実
いづみ	伊津美,出美,泉
いよ	一世,一葉,音陽,弥
いろは	紅羽,紅葉,彩生,彩蓮,采,采羽
うい	愛音,羽音,海生,詩生,初,初音,生衣,優生,憂,侑生
ういな	愛生
うたね	詩音
うたの	優楽
うたは	詩生
うづき	愛月,羽月,海月
うの	愛音,羽音
うぶ	初,生
うみほ	海帆
うらら	羽音,心良,麗
うらん	愛蘭,海蘭,樹蘭,美藍,美蘭
うるみ	潤,麗
えいか	瑛海
えいみ	瑛海
えいり	央里
えな	永愛,永和,恵愛,恵樹
えま	愛真,依真,永愛
えみ	瑛海,恵生,咲
えみか	咲日
えむ	愛夢,恵夢
えり	衣理,衣里,絵梨,絵理,絵璃,絵里
えりん	絵梨,麗愛
える	愛琉,愛路,衣瑠,映瑠,瑛琉,英琉,英瑠,詠瑠
えれな	愛月
えれん	愛月,愛恋,愛蓮,愛連,永愛
おうか	桜架,桜蘭,桜翔
おとあ	音亜,音愛,音空
おとか	乙和
おとね	乙音,桜音
おとは	音羽,音生,音陽
おとめ	音愛
おとわ	乙和,音羽,音和
おりえ	織
かいよう	開陽
かえら	楓愛
かおり	郁,佳織,加織,嘉織,夏織,花織,馨,薫,香,香織,香梨,香里,芳
かこ	夏来,夏來
かすみ	一純,一澄,一美,佳純,佳澄,花澄,香住,香純,香澄,春海,春美,春巳
かずえ	和衣
かずこ	和子
かなえ	叶,叶愛,夢
かなね	愛音,叶音,奏音
かなは	叶羽,奏羽
かなほ	奏歩
かなみ	叶海,叶夢
かなり	叶愛
かなん	可南,叶夢,香奈,奏音
かの	佳音,叶,奏音
かのは	叶羽
かのん	愛絆,音羽,佳音,加音,可南,海音,叶愛,叶音,叶夢,輝音,空音,圭音,香音,桜音,心温,奏音,和音,栞音,翔音
かほ	一帆,一穂,加穂,海帆,奏歩,風帆,芳,和帆,和美,和歩,和穂
かほり	薫,香里
かや	夏陽,茅,草
かよ	佳依,加依,華依,華陽
かりん	海鈴,海凛,海凜,香梨
かれん	愛恋,叶愛,星空
かんな	叶愛,香奈,奏
きあら	絆愛
きえ	葵依,葵衣,希愛
きき	葵生,希生,季生,彩樹,樹希,樹季,樹紀,樹生,絆希
きく	希空,菊,樹来,生空
きこ	希光
きさ	芽,萌,萠
きさき	妃
きせい	綺星
きの	希音
きほ	希星,玖歩,綺星
きみ	葵海,希海,希実,希美,紀美,輝海,輝美,公,樹実,来未
きょうか	叶奏
きょうこ	杏恋
きよか	汐夏,聖夏
きよな	汐夏,清奈,清那,清凪,聖夏,聖菜,聖七,聖奈
きよね	聖
きよみ	健美,澄,雪,碧海
きよら	心良,澄空,清羅,聖,聖羅,聖良
きより	希愛,希和
きらら	希星,稀月,輝,輝美,燦,翠,星空,煌,綺,綺星
くみ	雲海,功美,来未,綸
くらら	桜蘭
くれあ	來空,絆愛
くれは	紅羽,紅葉,来羽,來羽
けいか	佳叶
けいな	恵愛,瑞月
こうみ	光海,光美,功美,宏美
ここあ	彩,心温,心綺
ここな	心來,優
ここね	愛音,心温,心音
ここの	九
ここは	葉
ことな	采和
ことね	詞音,詩音,信音,心音,奏音,理音
ことの	詩音
ことは	采羽
ことぶき	寿
ことほ	寿
ことみ	紀美,寿美
ことり	紀里,理織
このか	杏桜,喜,希春,希悠,希遥,希陽,湖羽,胡羽,胡桃,瑚羽,光美,好,紅羽,子温,心温,心音,虹羽,日和,陽,来羽,来華,琉,來羽,琥,琥羽
さい	彩,彩生,采,菜
さいか	彩日,彩風
さえ	冴,咲,桜衣
さえら	彩蘭
さお	彩音,彩桜,彩和,桜音
さおり	彩織,里織
さきか	咲日
さくら	花,彩桜,咲,桜,桜生,桜舞,桜羅,桜蘭,桜良,秋桜,春,春華,千桜,櫻
ささ	楽,彩桜
さち	倖,幸,祥,福,祐,禄
さつき	五月,彩希,皐,颯来
さとえ	怜依
さとな	聖菜,聖那
さとね	慧音,里音
さとみ	理美
さとり	覚,智
さなみ	真海,真美
さほ	佐美
さや	沙陽,彩,咲陽,桜陽,紗,紗陽,清,爽
さやか	快,彩,晶,晴,清,爽,涼,颯
さやな	清奈,清那,清凪
さやね	彩音
さゆ	冴
さゆき	彩生
さよ	咲陽,桜良,紗陽
さより	彩和,桜依
さら	愛,幸空,彩,彩桜,彩生,彩来,彩蘭,桜羅,桜蘭,桜良,新,爽楽,爽良,颯来,颯良
さらん	愛,愛蘭,彩蘭,桜蘭
さり	桜里,桜莉
さわ	彩和,采和,皐,爽
しえる	雫月
しおか	汐夏
しおな	汐夏
しおね	詩音,汐音,織音,潮音,栞音
しおり	糸織,織,栞
しずか	穏,希,玄,静,禅,惺
しずな	惺南,惺梛
しずね	雫音,寧音
しづく	紫月,詩月
しのん	梓音,志音,紫音,詩音,汐音,心温,星音
しほ	汐
しほり	栞
しま	梓真,梓眞,志麻
しゅい	珠衣,珠唯
しゅか	朱加,春華
しゅな	珠己,珠梨
しゅんか	春華
しょうこ	星来,青空
しょうな	聖那
しんじゅ	真珠,真寿,真樹
じゅえり	希理
じゅじゅ	珠樹,寿樹
じゅな	珠己,珠生,樹和
じゅり	朱浬,朱李,朱理,朱璃,朱里,朱俐,朱凛,朱莉,珠利,珠吏,珠李,珠梨,珠理,珠琉,珠凛,珠稟,樹,樹里,樹琉
すず	紗,涼,鈴,凉
すずか	涼,涼風
すずな	愛絆
すずね	涼音
すずみ	寿美,涼
すみか	澄海,遥禾,遥風
すもも	李
せいか	瀬夏,星夏,星空,晴佳,晴夏,晴架,晴叶,晴香,聖夏
せいこ	星来
せいな	世菜,世奈,世那,世凪,世南,瀬菜,瀬奈,瀬那,瀬名,成那,成梛,星夏,星七,星樹,星渚,星成,星奈,星那,星凪,星南,星波,星名,星来,星流,星和,星梛,晴夏,晴菜,晴奈,晴那,晴凪,晴南,清奈,清那,清凪,聖夏,聖菜,聖心,聖奈,聖那,聖凪,醒那,青生,惺凪,惺南
せり	星里,千璃,千凛,千莉
せれな	星南,蒼月
その	園,苑,奏音
そよ	奏良,蒼葉
そらね	空羽,空音,天音,碧音
そらの	空音,空希
たえ	糸,紗
たかこ	天子,和子
たかね	天音,天祢
たまえ	珠衣,珠枝
たまな	珠樹
たまみ	玖,珠生,珠美,太真己,太摩己,太万己,碧海,碧波
たまよ	珠良
たみ	黎
ちあき	千影,千聖,千陽,千璃,智陽
ちえ	千種,智
ちさ	愛桜,一咲,一紗,千沙,千桜,千早,知桜,智早,椿沙
ちさき	千祥
ちさと	千聖,千都,千里,知聖,智惺
ちすず	千鈴
ちず	千寿,千都
ちづ	千都
ちとせ	千寿,千都
ちな	千那,千凪
ちなみ	千洋
ちはな	知花
ちほ	一穂,千星,祐穂
ちゆ	千優,千悠,千祐,智悠
ちゆき	千喜,千祥
ちよ	千桜,千世,千陽,知世,智世
ちり	千浬,千理,千璃,千里,千凛,千莉
つぐみ	亜珠,益美,紀美,緒生
つばき	椿
つぼみ	芽,蕾
つむぎ	紬,紡
てぃな	星奈,美月
てんね	天音,天寧
とうか	橙和
ともえ	登萌,巴
ともか	大愛,知佳,知花,朝日,悠華
ともな	那奈
ともね	知音
ともは	朝葉
ともみ	誠実,那未,呂美
ともよ	知世,智世
なえ	奈愛,那咲,凪咲
なおみ	治美,真実,正美
なこ	凪冴,和心
なち	捺
なちか	愛真,永愛,奈愛
なつえ	夏依,夏衣
なつか	夏楓
なつこ	夏来
なつな	夏維,夏来,夏絆
なつは	夏生
なつほ	七星
なつみ	夏生
なつめ	捺
なつよ	夏陽
なつる	夏瑠,翔
なづき	菜月,奈月,奈津希,那月,凪月,南月,和月,梛月
なづな	捺生
ななえ	七星
ななか	奈央
ななね	七音
ななほ	七星
ななみ	七生,南波,和心,和波
ななよ	菜々世,七世
なのは	和葉
なのん	七音,凪音,波音
なほ	七星,尚,奈保,那星,和帆,和歩,和穂
なりみ	成海,成実,成美,鳴美
にいな	仁愛
にか	仁和,日花,日和
にこ	莞,咲,虹,日香,和,和心
にな	仁愛,仁和,日菜
ねい	音生,寧,寧生
ねいな	寧和
ねね	愛音,希音,初音,祢音,寧音,寧希
のあ	愛空,永愛,音愛,音羽,音空,叶愛,希亜,希愛,希海,希空,希宙,希明,空,空愛,望海,和音
のあん	叶愛,希愛
のえる	聖,聖生,天使
のどか	温,穏,和,和奏
のの	楽,希愛,希望,暖
のりか	知佳
のりこ	天子
はすね	蓮音
はずき	葉月
はつね	初音,葉音
はつほ	一歩
はづき	羽月,花月,華月,初季,晴月,生月,葉月
はな	瑛,英,花,華,晴夏,晴菜,晴奈,晴那,晴凪,晴南,芭,芳,葉生
はなえ	花依,花衣,華依,華衣
はなこ	花衣
はなね	英音
はなび	華陽
はなよ	花依,華陽
はの	葉音
はのん	羽音,彩音,波音,葉音
はやか	颯海
はゆ	葉優
はゆみ	羽
はゆる	映,映流
はるあ	青空
はるえ	華依
はるこ	天子,悠杏
はるな	羽月,桜成,桜生,春陽,榛,晴夏,晴菜,晴奈,晴那,晴凪,晴南,東和,日菜,美南,美来,悠夏,陽月,陽奈,遼夏
はるね	桜音,美音
はるほ	暖穂,悠帆,悠歩
はるよ	春世,晴世,陽世
はるる	華琉,華瑠,春流,春琉,春留,春瑠,晴流,晴琉,晴留,晴瑠,美月,悠流,悠瑠,遥留
はんな	英,花,華,絆愛
ひいろ	柊呂,陽葵
ひおり	一織
ひさの	弥乃
ひさみ	寿美
ひでほ	愛生,未
ひとえ	仁愛
ひとみ	一見,一実,一心,一水,一生,一美,一未,潤,仁,瞳,陽美
ひなこ	陽香,陽心
ひなつ	聖夏,日夏,陽夏
ひなの	日菜,陽希
ひなみ	陽海,陽実,陽心,陽美
ひばり	陽晴,麗
ひまり	愛葵,日和,陽,陽葵
ひまわり	太陽,陽葵
ひみ	陽海,陽美
ひめ	妃,姫
ひめか	杏梨
ひよ	陽世
ひより	希音,晴,日歌,日和,飛和,陽,陽葵,凛和
ひらり	姫,舞
ひろこ	天子,裕己
ふうあ	楓愛
ふうな	楓愛
ふうわ	楓羽,風羽
ふき	吹,芙生,蕗,歩希,歩季
ふみか	文月
ふゆ	冬,那,風優,歩結
ふゆめ	歩夢
ふわり	雲,舞,歩羽
べにお	紅音
ほしな	星夏,星七,星多,星奈,星那,星南,星名
ほなみ	星南,星波
ほのか	暖,穂,和奏,洸
ほのり	穂紀,穂里
まあや	真采,真礼,万純,茉采
まい	桜舞,蒔,舞,麻依,夢,麗依,苺
まいか	舞夏
まいな	舞夏
まいね	舞音
まいや	眞弥
まう	愛生,真海,舞,茉優
まえ	舞
まおり	愛織
まさな	真夏
ましろ	真珠
まじゅ	真珠,真寿,真樹,麻寿,麻樹,万樹
まち	茉
まどか	愛,彩,望,和
まなえ	愛永
まなか	愛央,愛雅,愛叶,愛蘭,愛和,愛翔,心,真央,真嘉,真海,真心,真翔,茉央
まなみ	愛,愛真,愛生,真海,真己,真実,真珠,真心,真波,真美,南波,麻比
まのん	愛音,真音,舞音,万音
まひな	希陽,真陽
まみ	雅美,蒔実,真海,真己,真実,真珠,真心,真美,真巳,真弥,万美,万弥,眞弥,茉弥
まや	希優,真弥,麻陽,万弥,眞弥,茉弥
まゆ	真優,真裕,麻裕,万優,万裕,満優,優,眞優,眞裕,茉祐,茉優,茉祐,茉裕
まゆう	真優,万優,万裕,友優,茉優,茉祐
まよ	真陽,麻依,万葉
まり	克,実里,莉
まりあ	愛,聖,莉愛
まりん	葵海,夏,海,海音,海波,海鈴,海凛,海凜,稀梨,真海,真珠,蒼海,波音,舞音,碧海
まろん	愛夢,栗
みあ	海亜,海空,美愛,美藍
みあい	美愛,美藍
みあり	美愛
みあん	海杏
みい	海音,海生,珠衣,美,美愛,美音
みいな	美愛,未奈
みう	愛生,華,海空,海生,珠生,南生,美愛,美音,美海,碧海,望海
みうな	美海
みうみ	美海
みえ	美愛,朋
みおね	澪音
みおり	泉織
みおん	海音,実音,心温,心穏,心音,美音,美響,澪音
みか	海蘭,瑳,心輝,聖夏,美愛,美海,美蘭,明佳
みき	海生,海来,海來,幹,光希,光紀,光樹,実紀,実来,珠希,珠季,珠貴,珠輝,珠樹,樹,心輝,心綺,瑞樹,泉利,泉李,美響,美来,未来,未來
みく	愛空,海空,海来,海來,光来,三來,実来,実來,初音,心來,美来,美來,望来,望來,未来,未來,未徠,明来,弥来,弥來
みくり	未来,未來
みくる	愛来,海來,光来,実来,実來,心來,美来,美來,望来,望來,望徠,未来,未來,弥来,弥來
みこ	実来,実來,美己,美來,望來,未来,未來,弥來
みこと	光理,真琴,真采,尊,満寿,未来翔,命
みさ	仁彩,明桜
みさき	彩桜,咲
みさと	海里,京,光里,実里,泉里
みすず	海鈴
みずき	瑞,瑞季,瑞月,瑞樹,瑞生,聖,泉巳,美月,美津希,望
みずほ	泉帆
みそら	海空,生空,都空,碧空,穹
みち	紀,亨,享,径,慶,玄,光,充,恕,宙,途,芳,満,理,倫,路
みちか	海央,仁愛,美愛
みちる	光,光留,光瑠,充,満
みつみ	光海,光美
みと	海音,桜音,実音,心音,南音,美音,望都
みどり	翠,碧,緑
みね	海音,実音,心音,美音,峯,嶺
みのん	海音,実音,美音
みはる	光美,光流,史温,珠美,心温
みひろ	海央,海洋,美央
みほ	海帆
みみ	光美,美海,望未
みや	愛,雅,都
みやこ	京,都
みやび	雅,雅実,雅美,美
みゅう	海
みゆ	音羽,希優,結,心,美愛,満優,由
みゆう	幸羽,仁悠,満優
みゆき	幸,未来
みよ	光美
みり	海李,海理,海璃,海里,海凛,海莉,光李,光梨,光理,光里,光凛,光莉,桜莉,実理,実里,実俐,実莉,珠李,珠梨,泉里,里
みる	光流,光留,珠琉,心月
みるく	未来
みれい	海礼,海麗,海莉,実莉,珠礼,美來,未来,麗生
みわ	愛和,実波,神,美愛,美波,弥波
むつみ	睦,睦己,睦生,和美
むむ	夢向
めい	愛,愛郁,愛音,愛生,愛来,葵,芽,海唯,恵生,五月,萌,夢,命,明,明彩,明生,鳴
めいあ	明空
めいか	明佳,明輝,明日
めいみ	明海,明生,鳴美
めぐみ	愛,恩,芽,恵,恵愛,恵生,慶,光,幸,慈,珠,珠美,仁,徳,穂,萌,惠,萠
めぐる	愛桜,愛来,愛琉,逢,環,周,明来,輪
めばえ	萌
めぶき	芽吹
めみ	萌
める	愛,愛月,愛琉,愛路
めろん	愛音
もあ	百和
もえ	朋,萌,萠
もえみ	愛咲
もとみ	素美
もな	百和
もも	杏,桜,桃,百,李
ももあ	李愛
ももか	百和
ももな	百和
ももね	李音
ももは	李生
もゆ	萌
やえ	陽咲
やこ	弥来
やすか	愛蘭
やすは	叶羽
やや	陽々
やよい	三月,春
やわら	和
ゆあら	結蘭
ゆい	惟,維,結,結禾,結生,夢,唯,優,優杏,優生,悠生,有李,柚衣,柚生,柚李,由,由絃,祐李,侑生
ゆいか	維栞,結禾,結蘭,結和
ゆいな	結生,結陽,結和,優和
ゆいね	結音,結禾,悠禾
ゆいは	結羽,由羽
ゆいほ	結帆,結歩
ゆいみ	結珠,結生
ゆいり	結有,結利,結吏,結李,結梨,結理,結里,結俐,結凛,結莉,結凜,彩希,悠梨,由李,由理,由莉
ゆうあ	結杏,結歩,優安,優杏,優雨,優空,優歩,優和,悠杏,悠海,悠歩,柚葵,柚杏,柚有,由歩,裕歩,侑杏
ゆうか	結禾,結蘭,結和,佑日,優海,優日,優和,悠佳,悠加,悠可,悠夏,悠珂,悠禾,悠華,悠叶,悠圭,悠日,悠楓,悠風,夕日,侑日
ゆうこ	優杏
ゆうな	結生,結梨,結和,夢月,佑和,優海,優生,優梨,優和,勇那,友和,悠夏,悠生,祐和,夕和,侑生,侑梨,侑和
ゆうね	結音,佑羽,優羽
ゆうの	結音
ゆうは	結羽,結生,佑羽,優羽,優陽,悠羽,柚羽,由羽,祐羽,裕羽,侑羽
ゆうみ	結生,佑海,優海,優光,優珠,優美,悠海,裕海,裕実,裕美,裕巳,侑海
ゆうゆ	結優,結友,優友,友優,由侑
ゆえ	華月,月
ゆか	夏,結蘭,結和,優桜,優和,悠佳,悠加,悠可,悠嘉,悠夏,悠珂,悠華,悠叶,悠楓,夕日
ゆかり	紫,由
ゆきあ	幸空
ゆきか	千翔,來果
ゆきな	倖生,千凪,透和
ゆきね	幸希,志音
ゆきの	志乃,千暖
ゆきは	幸羽,幸葉,雪羽,侑羽
ゆきほ	由歩,侑歩
ゆきみ	千弥,千洋
ゆさ	優桜
ゆずな	柚己,柚來
ゆずは	柚羽,柚生
ゆずほ	柚歩
ゆずゆ	柚友,柚有
ゆつき	夢月,唯月,柚月
ゆづき	惟月,水月,夢月,唯月,柚葵,柚希,柚季,柚稀,柚月
ゆづは	柚羽
ゆな	結音,結生,結梨,結和,夢,佑和,優海,優生,優梨,優和,勇那,友和,悠夏,柚來,祐和,夕和,侑和
ゆの	結音,夢希,柚希,絆
ゆのあ	優杏
ゆのは	結羽,柚羽
ゆのん	結音
ゆほ	結帆,結歩,佑穂,優歩,優穂,悠帆,悠歩,悠穂,柚歩,由歩,祐帆,祐穂,裕帆,侑歩
ゆま	有真
ゆみ	弓,結珠,佑海,優海,優光,優美,勇美,悠海,悠光,裕海,裕己,裕実,裕美,裕巳,侑海
ゆめは	夢羽
ゆゆ	結優,結友,柚友,由侑
ゆら	結羅,結蘭,結良,優楽,優空,優桜,優羅,優良,柚来,柚來
ゆり	結利,結吏,結李,結梨,結理,結里,結凛,結莉,結凜,佑李,佑梨,佑理,佑里,佑凛,佑莉,優利,優吏,優李,優梨,優理,優璃,優里,優俐,優凛,優莉,優凜,勇利,友吏,友李,友梨,友理,友璃,友里,友俐,友凛,悠浬,悠利,悠吏,悠梨,悠理,悠璃,悠里,悠流,悠凛,悠莉,有利,有李,有理,有璃,有里,有凛,有莉,柚吏,柚李,柚璃,柚里,柚凛,柚莉,由,由利,由李,由理,由璃,由里,由莉,祐李,祐理,祐璃,祐里,祐俐,祐莉,裕利,裕梨,裕理,裕璃,裕里,裕莉,夕梨,夕理,夕璃,夕里,夕莉,侑李,侑梨,侑理,侑璃,侑里,侑俐,侑莉
ゆりは	結羽
ゆりん	結梨,結琳,結凛,結凜,優凛,優凜,友凛,柚凛,夕凛
ようか	陽夏,陽香
ようこ	陽光,陽心
よしえ	佳依,佳衣,美愛,美徳
よしか	温佳,佳叶,喜花
よしこ	和子
よしの	愛音,佳音,慶音
よしみ	嘉,好,成美,美海,美己
よつば	幸葉
よりこ	愛来,和子
らな	星奈,蘭
らぶ	愛,愛夢
らみ	来夢
らむ	愛夢,夢,来夢,來夢,徠夢
らら	愛,愛空,愛桜,愛来,歌,月,詩,星來,來良
りあな	愛絆,絆愛
りあら	璃愛,琉愛
りい	彩生,利生,梨生,理生,玲衣,凛生,莉,莉愛,莉生
りいな	莉愛
りう	梨,理愛,璃生,麗羽,麗生,莉生
りえ	理愛,莉苑
りおな	凛桜
りおね	凛音,凜音
りか	李和,理翔,里桜,莉翔
りこ	莉杏
りさ	有桜,理桜,璃桜,里桜,凛桜,莉愛,莉桜,凜采
りせ	莉生
りな	李生,李和,梨杏,梨生,理愛,璃和,里和,凛和,莉央,莉生,莉和
りね	利音,梨音,理音,璃音,里音,凛音,莉音,凜音
りの	桜音,梨音,璃音,凛音,莉音
りのあ	理愛,璃愛,凛愛,莉愛
りのん	羽音,奏音,哩音,利音,吏音,李音,梨音,理温,理音,璃音,里音,琳音,凛音,莉音,凜音
りぶ	莉生
りほ	梨穂,理美,璃歩,莉穂
りま	璃麻,里麻
りみ	利美,理美,琉海
りゅうか	流嘉,流夏,流果,流歌,流花,流華,流香,琉嘉,琉禾,琉花,琉華,琉海,琉香,琉風,瑠夏,瑠香,瑠蘭
りゅうな	琉花
りょうか	涼風,遼佳,遼加,遼花,遼香
りよ	梨陽
りら	凛桜,莉愛
りり	優莉,有俐,理織
りりあ	凛愛,莉愛
りりい	莉愛
りる	愛琉,凛月,莉月
りわ	李和,璃和,里和,麗羽,凛和,莉和
りんか	梨月,凛和
りんな	凛愛,凛和
りんね	綾音,梨音,琳音,凛音,凜音
るいか	琉花,瑠花,瑠香
るうあ	琉愛
るうな	琉海,瑠夏,瑠海
るな	夏月,月,美月,流愛,琉愛,琉夏,琉生,琉和,留生,瑠,瑠愛,瑠夏,瑠和
るね	輝音,琉音
るの	光希,琉音
るのあ	琉愛,瑠愛
るのん	琉音
るり	光里,璃,瑠
るるな	琉愛
るん	楽,恋空
れあ	希,希愛,麗愛,恋空
れあん	莉杏
れいあ	麗愛,莉愛,莉杏
れいか	令和
れいさ	莉颯
れいな	令和,玲樹,麗愛,莉愛,莉月,莉和
れいね	澪音
れいは	麗羽,麗生
れいみ	莉生
れいら	麗愛,恋空,莉愛,莉桜
れいん	玲,澪音
れな	令和,伶生,玲生,麗愛
れの	玲希
れのあ	玲葵,麗愛,莉愛
れら	麗愛
わかな	羽哉,和奏
わこ	環来,和子,和心
